SYM,DATE,CLOSE,OPEN,MKT,SO,PF,B,RPP,PER,EPS,Y,D,FS,AV,SEC,INDUS,SENT
FBMS,2017-07-03 00:02:47.282437,27.5,27.5,252.37,9.14,8.33,0.17,137.9,21.23,1.3,0.54,0.04,0.94,28.55,10.0,13.0,0.16773076923076927
FLIC,2017-07-03 00:02:48.891083,28.6,28.65,688.75,24.08,21.84,1.0,373.44,21.08,1.36,1.96,0.14,0.66,75.79,10.0,13.0,0.015433333333333332
GT,2017-07-03 00:02:49.663168,34.96,34.9,8.8,251.79,250.74,1.36,229.79,7.39,4.73,1.14,0.1,7.08,2.83,7.0,19.0,0.22885714285714287
HCKT,2017-07-03 00:02:50.851508,15.5,15.32,452.91,29.22,23.85,0.99,269.89,20.13,0.77,1.94,0.15,0.94,213.07,3.0,35.0,0.12644
KHC,2017-07-03 00:02:51.461443,85.5,87.2,104.28,1.22,925.58,0.9,640.95,30.37,2.82,2.8,0.6,1.27,2.5,4.0,21.0,0.09966
NAVG,2017-07-03 00:02:52.277026,54.9,55.0,1.62,29.47,22.39,0.75,1.79,20.49,2.68,0.44,0.06,1.77,75.81,10.0,7.0,0.15786666666666666
YORW,2017-07-03 00:02:52.947518,34.85,35.2,447.61,12.84,12.71,0.75,453.3,37.51,0.93,1.84,0.16,1.26,41.23,0.0,91.0,0.06125333333333334
TTS,2017-07-03 00:02:53.501415,20.65,20.4,1.07,51.64,34.3,1.04,228.99,54.34,0.38,0.97,0.05,9.97,328.69,3.0,33.0,-0.1311857142857143
TSBK,2017-07-03 00:02:54.209919,25.27,25.5,185.71,7.35,6.1,0.26,178.68,15.89,1.59,1.74,0.11,0.16,29.31,10.0,65.0,0.13957999999999998
TRST,2017-07-03 00:02:55.359788,7.75,7.7,744.12,96.02,92.83,1.03,224.69,17.22,0.45,3.39,0.07,0.65,283.3,10.0,13.0,0.3186636363636363
TRMK,2017-07-03 00:02:55.929196,32.16,32.58,2.18,67.73,61.2,1.11,217.87,19.26,1.67,2.86,0.23,5.11,326.1,10.0,13.0,0.12732727272727273
UBSH,2017-07-03 00:02:56.662768,33.9,34.33,1.48,43.7,42.79,0.97,264.8,18.52,1.83,2.36,0.2,4.03,175.52,10.0,13.0,0.18743571428571432
UNB,2017-07-03 00:02:57.369251,47.5,48.1,211.94,4.46,3.47,0.22,195.89,24.36,1.95,2.44,0.29,4.07,5.48,10.0,13.0,0.17580714285714286
UBCP,2017-07-03 00:02:58.655250,12.2,11.65,66.19,5.43,4.59,-0.03,189.72,17.18,0.71,3.61,0.11,0.12,3.94,10.0,13.0,0.49151428571428574
UCBA,2017-07-03 00:02:59.501874,18.95,19.0,79.55,4.2,3.5,0.15,172.15,23.69,0.8,1.9,0.09,0.05,3.79,10.0,54.0,0
UCBI,2017-07-03 00:03:00.380980,27.8,28.04,1.97,70.96,65.88,1.12,231.0,19.58,1.42,1.29,0.09,2.08,406.17,10.0,13.0,0.37993076923076924
UCFC,2017-07-03 00:03:01.385263,8.3507,8.27,412.88,49.69,48.14,0.99,223.25,23.24,0.36,1.44,0.03,0.55,107.69,10.0,65.0,0.5375599999999999
UBNK,2017-07-03 00:03:02.221385,16.69,17.02,847.15,50.76,49.87,0.77,343.99,16.36,1.02,2.88,0.12,1.24,127.9,10.0,65.0,0.5567785714285715
UFCS,2017-07-03 00:03:02.969391,44.06,44.56,1.11,25.21,21.29,1.09,1.06,24.08,1.83,2.54,0.28,0.49,74.85,10.0,7.0,0.20299333333333333
UIHC,2017-07-03 00:03:03.693451,15.73,15.89,672.43,42.75,23.74,0.94,3.01,52.43,0.3,1.53,0.06,5.94,164.26,10.0,7.0,0.65883
UBFO,2017-07-03 00:03:04.582581,9.25,9.55,156.09,16.88,13.68,0.11,266.94,22.03,0.42,2.16,0.05,0.13,41.43,10.0,13.0,0.6615299999999998
USLM,2017-07-03 00:03:05.288604,78.0362,77.2,437.78,5.58,2.02,0.77,441.9,23.92,3.28,0.69,0.14,1.35,7.85,12.0,17.0,0.4215
UG,2017-07-03 00:03:06.275287,15.4535,15.25,70.99,4.59,2.81,0.36,342.45,26.19,0.59,5.44,0.42,0.29,4.29,4.0,81.0,0.04849333333333334
UNTY,2017-07-03 00:03:07.094871,17.2,17.0,181.2,10.54,7.59,0.19,296.01,13.87,1.24,1.4,0.06,0.41,25.56,10.0,13.0,0.0
OLED,2017-07-03 00:03:07.853913,109.25,110.4,5.14,47.03,41.51,1.63,1.11,91.04,1.2,0.11,0.03,9.51,882.55,8.0,73.0,-0.05808
UFPI,2017-07-03 00:03:08.868683,87.31,87.23,1.79,20.52,19.92,1.3,366.07,17.34,5.03,1.03,0.45,1.62,133.09,12.0,71.0,-0.007914285714285716
ULH,2017-07-03 00:03:09.658766,15.0,15.4662,426.65,28.44,8.25,1.16,174.79,20.0,0.75,1.87,0.07,1.09,21.74,11.0,90.0,-0.029746666666666664
UVSP,2017-07-03 00:03:10.391338,29.95,30.25,798.5,26.66,25.73,0.9,234.16,31.79,0.94,2.67,0.2,1.55,90.91,10.0,13.0,0.12379166666666667
VRTS,2017-07-03 00:03:11.270464,110.95,110.5,775.43,6.99,6.7,1.37,819.3,17.19,6.46,1.62,0.45,9.82,50.77,10.0,61.0,0.19087142857142858
VSEC,2017-07-03 00:03:11.987474,45.1388,45.48,487.49,10.84,8.53,1.12,295.46,17.78,2.53,0.62,0.07,1.23,33.65,3.0,79.0,0.148
WBA,2017-07-03 00:03:12.505342,78.21,79.5,83.8,1.08,933.78,0.95,324.17,19.73,3.97,1.92,0.38,1.09,4.83,2.0,25.0,0.24436666666666668
